1122334,A11,6,A34,A43,1169,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1
6156361,A12,48,A32,A43,5951,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,2
2051359,A14,12,A34,A46,2096,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1
8740590,A11,42,A32,A42,7882,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,1
3924540,A11,24,A33,A40,4870,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,2
3115687,A14,36,A32,A46,9055,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,1
8251714,A14,24,A32,A42,2835,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1
2272783,A12,36,A32,A41,6948,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1
1865292,A14,12,A32,A43,3059,A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1
8369450,A12,30,A34,A40,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,2
2859658,A12,12,A32,A40,1295,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,2
7677202,A11,48,A32,A49,4308,A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,2
6368245,A12,12,A32,A43,1567,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1
8363768,A11,24,A34,A40,1199,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,2
6846974,A11,15,A32,A40,1403,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1
6293067,A11,24,A32,A43,1282,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,2
2807551,A14,24,A34,A43,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1
8394907,A11,30,A30,A49,8072,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1
9516779,A12,24,A32,A41,12579,A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,2
1750839,A14,24,A32,A43,3430,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,1
9007770,A14,9,A34,A40,2134,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1
5611578,A11,6,A32,A43,2647,A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1
3677496,A11,10,A34,A40,2241,A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,1
3265162,A12,12,A34,A41,1804,A62,A72,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1
7795200,A14,10,A34,A42,2069,A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,1
4362293,A11,6,A32,A42,1374,A61,A73,1,A93,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,1
4506902,A14,6,A30,A43,426,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,1
8881521,A13,12,A31,A43,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1
1398341,A12,7,A32,A43,2415,A61,A73,3,A93,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,1
7333893,A11,60,A33,A49,6836,A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,2
7890417,A12,18,A32,A49,1913,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,1
2017286,A11,24,A32,A42,4020,A61,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,1
7081292,A12,18,A32,A40,5866,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,1
8807838,A14,12,A34,A49,1264,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,1
1221741,A13,12,A32,A42,1474,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,1
3977061,A12,45,A34,A43,4746,A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,2
6028350,A14,48,A34,A46,6110,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,1
2903516,A13,18,A32,A43,2100,A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,2
8335289,A13,10,A32,A44,1225,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1
8596814,A12,9,A32,A43,458,A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,1
1473485,A14,30,A32,A43,2333,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1
5043986,A12,12,A32,A43,1158,A63,A73,3,A91,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,1
7015188,A12,18,A33,A45,6204,A61,A73,2,A93,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,1
5609809,A11,30,A34,A41,6187,A62,A74,1,A94,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,1
6574474,A11,48,A34,A41,6143,A61,A75,4,A92,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,2
6668437,A14,11,A34,A40,1393,A61,A72,4,A92,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,1
7468489,A14,36,A32,A43,2299,A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,1
6045059,A11,6,A32,A41,1352,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,1
3678840,A14,11,A34,A40,7228,A61,A73,1,A93,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,1
9514325,A14,12,A32,A43,2073,A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,1
7764002,A12,24,A33,A42,2333,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,1
4029031,A12,27,A33,A41,5965,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,1
1318782,A14,12,A32,A43,1262,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1
1442097,A14,18,A32,A41,3378,A65,A73,2,A93,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,1
7784864,A12,36,A33,A40,2225,A61,A75,4,A93,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,2
4572543,A14,6,A31,A40,783,A65,A73,1,A93,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,1
4365555,A12,12,A32,A43,6468,A65,A71,2,A93,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,2
6134562,A14,36,A34,A43,9566,A61,A73,2,A92,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,1
3409265,A13,18,A32,A40,1961,A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1
1504574,A11,36,A34,A42,6229,A61,A72,4,A92,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,2
3256655,A12,9,A32,A49,1391,A61,A73,2,A94,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,1
8806796,A12,15,A34,A43,1537,A65,A75,4,A93,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,1
1364372,A12,36,A30,A49,1953,A61,A75,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,2
8688712,A12,48,A30,A49,14421,A61,A73,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,2
3747039,A14,24,A32,A43,3181,A61,A72,4,A92,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1
3453642,A14,27,A32,A45,5190,A65,A75,4,A93,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,1
5520489,A14,12,A32,A43,2171,A61,A72,2,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1
1647906,A12,12,A32,A40,1007,A64,A73,4,A94,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,1
2987381,A14,36,A32,A46,1819,A61,A73,4,A93,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,2
3683782,A14,36,A32,A43,2394,A65,A73,4,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1
6065675,A14,36,A32,A41,8133,A61,A73,1,A92,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,1
1510672,A14,7,A34,A43,730,A65,A75,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,1
6390550,A11,8,A34,A410,1164,A61,A75,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,1
6771352,A12,42,A34,A49,5954,A61,A74,2,A92,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,1
4802045,A11,36,A32,A46,1977,A65,A75,4,A93,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,2
8911390,A11,12,A34,A41,1526,A61,A75,4,A93,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,1
1139059,A11,42,A32,A43,3965,A61,A72,4,A93,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,2
7399701,A12,11,A33,A43,4771,A61,A74,2,A93,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,1
5604915,A14,54,A30,A41,9436,A65,A73,2,A93,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,1
7683335,A12,30,A32,A42,3832,A61,A72,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,1
5503995,A14,24,A32,A43,5943,A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,2
8801062,A14,15,A32,A43,1213,A63,A75,4,A93,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,1
1817735,A14,18,A32,A49,1568,A62,A73,3,A92,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,1
1806409,A11,24,A32,A410,1755,A61,A75,4,A92,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,1
3028735,A11,10,A32,A43,2315,A61,A75,3,A93,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,1
3707969,A14,12,A34,A49,1412,A61,A73,4,A92,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,1
7327747,A12,18,A34,A42,1295,A61,A72,4,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1
5790827,A12,36,A32,A46,12612,A62,A73,1,A93,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,2
1812102,A11,18,A32,A40,2249,A62,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,1
4049219,A11,12,A30,A45,1108,A61,A74,4,A93,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,2
6177564,A14,12,A34,A43,618,A61,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,1
9127163,A11,12,A34,A41,1409,A61,A75,4,A93,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,1
2628060,A14,12,A34,A43,797,A65,A75,4,A92,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,2
2031456,A13,24,A34,A42,3617,A65,A75,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,1
3725303,A12,12,A32,A40,1318,A64,A75,4,A93,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,1
8326409,A12,54,A30,A49,15945,A61,A72,3,A93,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,2
1957928,A14,12,A34,A46,2012,A65,A74,4,A92,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,1
6428170,A12,18,A32,A49,2622,A62,A73,4,A93,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,1
4371483,A12,36,A34,A43,2337,A61,A75,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1
7476603,A12,20,A33,A41,7057,A65,A74,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,1
2083425,A14,24,A32,A40,1469,A62,A75,4,A94,A101,4,A121,41,A143,A151,1,A172,1,A191,A201,1
7663021,A12,36,A32,A43,2323,A61,A74,4,A93,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,1
8330126,A14,6,A33,A43,932,A61,A73,3,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,1
4762252,A12,9,A34,A42,1919,A61,A74,4,A93,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,1
8744199,A14,12,A32,A41,2445,A65,A72,2,A94,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,1
7423252,A12,24,A34,A410,11938,A61,A73,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,2
7539327,A14,18,A31,A40,6458,A61,A75,2,A93,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,2
9510423,A12,12,A32,A40,6078,A61,A74,2,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,1
7532368,A11,24,A32,A42,7721,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,1
1929784,A12,14,A32,A49,1410,A63,A75,1,A94,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,1
9517102,A13,6,A34,A40,1299,A61,A73,1,A93,A101,1,A121,74,A143,A152,3,A171,2,A191,A202,1
2801710,A12,9,A32,A42,918,A61,A73,4,A92,A101,1,A122,30,A143,A152,1,A173,1,A191,A201,2
3066581,A12,6,A33,A49,1449,A62,A75,1,A91,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,1
2924368,A13,15,A32,A46,392,A61,A72,4,A92,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,1
5814710,A12,18,A32,A40,6260,A61,A74,3,A93,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,1
5186756,A14,36,A34,A40,7855,A61,A73,4,A92,A101,2,A121,25,A142,A152,2,A173,1,A192,A201,2
3473006,A11,12,A32,A43,1680,A63,A75,3,A94,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,1
7491936,A14,48,A34,A43,3578,A65,A75,4,A93,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,1
8010233,A11,42,A32,A43,7174,A65,A74,4,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,2
4298578,A11,10,A34,A42,2132,A65,A72,2,A92,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,1
2515323,A11,33,A34,A42,4281,A63,A73,1,A92,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,2
2317941,A12,12,A34,A40,2366,A63,A74,3,A91,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,1
3906586,A11,21,A32,A43,1835,A61,A73,3,A92,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,2
4863589,A14,24,A34,A41,3868,A61,A75,4,A92,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,1
4625102,A14,12,A32,A42,1768,A61,A73,3,A93,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1
8954004,A13,10,A34,A40,781,A61,A75,4,A93,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,1
1498295,A12,18,A32,A42,1924,A65,A72,4,A92,A101,3,A121,27,A143,A151,1,A173,1,A191,A201,2
4851363,A11,12,A34,A40,2121,A61,A73,4,A93,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,1
1018706,A11,12,A32,A43,701,A61,A73,4,A94,A101,2,A121,40,A143,A152,1,A172,1,A191,A201,1
9208119,A12,12,A32,A45,639,A61,A73,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,2
4300293,A12,12,A34,A41,1860,A61,A71,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,1
7728014,A11,12,A34,A40,3499,A61,A73,3,A92,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,2
7990216,A12,48,A32,A40,8487,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1
1318029,A11,36,A33,A46,6887,A61,A73,4,A93,A101,3,A122,29,A142,A152,1,A173,1,A192,A201,2
9949768,A14,15,A32,A42,2708,A61,A72,2,A93,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,1
7906171,A14,18,A32,A42,1984,A61,A73,4,A93,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,1
4495501,A14,60,A32,A43,10144,A62,A74,2,A92,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1
4891536,A14,12,A34,A43,1240,A65,A75,4,A92,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,1
6332313,A14,27,A33,A41,8613,A64,A73,2,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1
2114106,A12,12,A32,A43,766,A63,A73,4,A93,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,2
8221756,A12,15,A34,A43,2728,A65,A74,4,A93,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,1
7308446,A13,12,A32,A43,1881,A61,A73,2,A92,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,1
5759358,A13,6,A32,A40,709,A64,A72,2,A94,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,1
1432196,A12,36,A32,A43,4795,A61,A72,4,A92,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,1
2429343,A11,27,A32,A43,3416,A61,A73,3,A93,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,1
1581866,A11,18,A32,A42,2462,A61,A73,2,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,2
6989622,A14,21,A34,A42,2288,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,1
2025676,A12,48,A31,A49,3566,A62,A74,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1
3000727,A11,6,A34,A40,860,A61,A75,1,A92,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,1
3953814,A14,12,A34,A40,682,A62,A74,4,A92,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,1
7408825,A11,36,A34,A42,5371,A61,A73,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,1
6226321,A14,18,A34,A43,1582,A64,A75,4,A93,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,1
6083792,A14,6,A32,A43,1346,A62,A75,2,A93,A101,4,A124,42,A141,A153,1,A173,2,A192,A201,1
5122662,A14,10,A32,A43,1924,A61,A73,1,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,1
9746441,A13,36,A32,A43,5848,A61,A73,4,A93,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,1
7353198,A12,24,A34,A41,7758,A64,A75,2,A92,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,1
7766762,A12,24,A33,A49,6967,A62,A74,4,A93,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,1
5175459,A11,12,A32,A42,1282,A61,A73,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,2
5520884,A11,9,A34,A45,1288,A62,A75,3,A93,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,1
1137438,A11,12,A31,A48,339,A61,A75,4,A94,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,1
3892302,A12,24,A32,A40,3512,A62,A74,2,A93,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,1
9957275,A14,6,A34,A43,1898,A65,A73,1,A93,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,1
4695507,A14,24,A34,A43,2872,A62,A75,3,A93,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,1
7775118,A14,18,A34,A40,1055,A61,A72,4,A92,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,1
4717846,A14,15,A32,A44,1262,A63,A74,4,A93,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,1
3539651,A12,10,A32,A40,7308,A61,A71,2,A93,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,1
6446799,A14,36,A32,A40,909,A63,A75,4,A93,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,1
5749718,A14,6,A32,A42,2978,A63,A73,1,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1
8930405,A11,18,A32,A42,1131,A61,A71,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2
4030908,A12,11,A32,A42,1577,A64,A72,4,A92,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,1
1327333,A14,24,A32,A42,3972,A61,A74,2,A92,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,1
5329060,A12,24,A34,A49,1935,A61,A75,4,A91,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,2
7922005,A11,15,A30,A40,950,A61,A75,4,A93,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,2
6450905,A14,12,A32,A42,763,A61,A73,4,A92,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,1
1909580,A12,24,A33,A42,2064,A61,A71,3,A92,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,2
2714562,A12,8,A32,A43,1414,A61,A73,4,A93,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,1
6826470,A11,21,A33,A46,3414,A61,A72,2,A93,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,2
4340005,A14,30,A31,A41,7485,A65,A71,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,2
7800786,A11,12,A32,A42,2577,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,1
9266615,A11,6,A34,A43,338,A63,A75,4,A93,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,1
6212932,A14,12,A32,A43,1963,A61,A74,4,A93,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,1
5419741,A11,21,A34,A40,571,A61,A75,4,A93,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,1
9177065,A14,36,A33,A49,9572,A61,A72,1,A91,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,2
9804802,A12,36,A33,A49,4455,A61,A73,2,A91,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,2
8560790,A11,21,A31,A40,1647,A65,A73,4,A93,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,2
2450622,A14,24,A34,A42,3777,A64,A73,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,1
6376471,A12,18,A34,A40,884,A61,A75,4,A93,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,2
2549308,A14,15,A34,A43,1360,A61,A73,4,A93,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,1
5285284,A12,9,A31,A41,5129,A61,A75,2,A92,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,2
3020208,A12,16,A34,A40,1175,A61,A71,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,1
4186149,A11,12,A32,A43,674,A62,A74,4,A94,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,2
4599122,A12,18,A30,A42,3244,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,1
1730668,A14,24,A32,A49,4591,A64,A73,2,A93,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,2
3082071,A12,48,A30,A49,3844,A62,A74,4,A93,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,2
5960666,A12,27,A32,A49,3915,A61,A73,4,A93,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,2
7033466,A14,6,A32,A43,2108,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,1
4027322,A12,45,A32,A43,3031,A62,A73,4,A93,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,2
4067442,A12,9,A34,A46,1501,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,2
2816577,A14,6,A34,A43,1382,A61,A73,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,1
2964220,A12,12,A32,A42,951,A62,A72,4,A92,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,2
4483104,A12,24,A32,A41,2760,A65,A75,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,1
6604417,A12,18,A33,A42,4297,A61,A75,4,A91,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,2
